产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,82,西湖文一西路,49377元/平米,金成花园,1998年建/板楼,285,2室2厅,103102451689,2018-05-27,南 北,高楼层/共7层,平层/精装,57.72平米
70年,32,西湖申花,44672元/平米,丽阳苑,2009年建/板楼,620,3室2厅,103102426689,2018-05-19,南,中楼层/共6层,平层/简装,138.79平米
40年,2,拱墅申花,30103元/平米,蓝钻天成,2016年建/板楼,177,2室2厅,103104520283,2019-04-23,南,中楼层/共22层,平层/精装,58.8平米
50年,59,余杭未来科技城,29412元/平米,理想西溪金座,2014年建/板楼,180,2室2厅,103103896348,2019-02-17,南,高楼层/共9层,跃层/精装,61.2平米
70年,8,江干景芳,65304元/平米,东方御府,2015年建/板楼,1600,3室2厅,103104162822,2019-03-18,南 北,中楼层/共29层,平层/精装,245.01平米
70年,4,钱塘新区高教园区东,37664元/平米,保利江语海,2010年建/塔楼,265,2室1厅,103103044415,2018-10-04,南,中楼层/共33层,平层/毛坯,70.36平米
70年,39,余杭星桥,20467元/平米,惠都家园,2011年建/板楼,115,1室1厅,103104097827,2019-03-11,南,高楼层/共6层,平层/毛坯,56.19平米
70年,1,临安临安,17533元/平米,中天珺府,未知年建/板楼,540,5室2厅,103103430923,2018-11-21,南 北,联排/共2层,毛坯,308平米
70年,6,拱墅桥西,45024元/平米,凯德视界,2009年建/板楼,399,2室2厅,103104420923,2019-04-14,南,高楼层/共18层,平层/精装,88.62平米
70年,10,余杭临平,25843元/平米,赞成香颂一期,2013年建/板楼,230,3室1厅,103103773007,2019-01-15,南,低楼层/共11层,平层/精装,89平米
70年,0,余杭闲林,22451元/平米,绿城桃源小镇,未知年建/板塔结合,260,4室2厅,103104159492,2019-03-18,南 北,低楼层/共34层,平层/简装,115.81平米
70年,11,西湖西溪,66614元/平米,坤和和家园,2011年建/板楼,580,3室2厅,103103080559,2018-10-10,南 北,低楼层/共12层,精装,87.07平米
70年,19,江干九堡,44944元/平米,雍和府,2017年建/板楼,400,3室1厅,103103370208,2018-11-12,南,高楼层/共17层,平层/毛坯,89平米
70年,11,下城石桥,30073元/平米,景翠公寓,2009年建/板楼,245,2室2厅,103104448858,2019-04-16,南,高楼层/共11层,平层/精装,81.47平米
70年,22,余杭未来科技城,26849元/平米,湖山帝景湾,2015年建/板楼,240,3室2厅,103102843182,2018-09-05,南 北,中楼层/共22层,平层/精装,89.39平米
70年,16,萧山临浦,15188元/平米,东麓池弄,未知年建/板楼,95,2室2厅,103104377762,2019-04-09,南,低楼层/共6层,平层/简装,62.55平米
70年,27,拱墅信义坊,42067元/平米,浪琴翠园,2000年建/板楼,500,4室2厅,103103377029,2018-11-13,南,高楼层/共6层,平层/精装,118.86平米
70年,3,江干笕桥,49442元/平米,金色黎明三期,2016年建/塔楼,425,3室2厅,103104533161,2019-04-25,南,高楼层/共16层,平层/精装,85.96平米
70年,53,拱墅湖墅,32317元/平米,维元弄,1986年建/板楼,195,2室1厅,103104424609,2019-04-14,东 西,高楼层/共6层,平层/简装,60.34平米
70年,1,余杭临平,31928元/平米,余之城,2017年建/板楼,280,3室2厅,103104369684,2019-04-09,南,低楼层/共33层,精装,87.7平米
70年,7,上城复兴,47052元/平米,复兴南苑,2005年建/板楼,750,3室2厅,103102714577,2018-08-09,南,高楼层/共18层,平层/精装,159.4平米
70年,3,余杭临平,19434元/平米,复兴弄,2000年建/板楼,160,3室1厅,103103994148,2019-02-28,南,低楼层/共6层,平层/简装,82.33平米
70年,53,江干丁桥,25120元/平米,丁桥兰苑,2000年建/板楼,220,2室2厅,103103094409,2018-10-12,南,高楼层/共12层,平层/精装,87.58平米
