产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
40年,0,滨江长河,37897元/平米,恒鼎博邑郡,2016年建/板楼,178,1室1厅,103104162332,2019-03-18,西,高楼层/共19层,Loft/精装,46.97平米
70年,12,西湖西溪,47885元/平米,中海西溪华府,2013年建/板楼,430,3室2厅,103104151276,2019-03-17,南,高楼层/共11层,平层/简装,89.8平米
70年,45,富阳富阳,17348元/平米,泰禾野风大城小院,2019年建/板楼,520,5室2厅,103103338433,2018-11-08,南,联排/共4层,毛坯,299.75平米
70年,0,余杭闲林,21341元/平米,众安学君里,2018年建/板楼,255,3室2厅,103104832068,2019-05-25,南,中楼层/共23层,平层/毛坯,119.49平米
70年,1,拱墅申花,50589元/平米,昆仑橡树园,2010年建/板楼,430,2室2厅,103104038325,2019-03-05,南,中楼层/共17层,平层/简装,85平米
70年,7,余杭临平,23036元/平米,名门天第,2000年建/板塔结合,95,1室0厅,103102779502,2018-08-24,东,中楼层/共20层,平层/精装,41.24平米
70年,23,江干三里亭,41090元/平米,三里新城荷苑,2012年建/塔楼,350,2室2厅,103102529455,2018-06-21,南,中楼层/共18层,平层/简装,85.18平米
70年,3,江干景芳,54620元/平米,中企艮山府,2015年建/板楼,480,2室2厅,103103168478,2018-10-19,南,中楼层/共23层,精装,87.88平米
70年,2,钱塘新区高教园区西,23516元/平米,清雅苑,2003年建/板楼,305,3室2厅,103104682893,2019-05-10,南,中楼层/共11层,平层/简装,129.7平米
70年,29,下城石桥,27563元/平米,元都新景公寓,2009年建/塔楼,249,2室2厅,103102495789,2018-06-10,南 北,高楼层/共15层,平层/毛坯,90.34平米
70年,8,上城近江,56254元/平米,近江家园一园,2003年建/板楼,600,3室2厅,103104430290,2019-04-15,南,中楼层/共7层,平层/精装,106.66平米
70年,6,余杭崇贤,22783元/平米,锦昌年华,2009年建/板楼,262,3室2厅,103104681124,2019-05-10,东,低楼层/共12层,平层/精装,115平米
40年,52,余杭未来科技城,29400元/平米,欧美金融城,2017年建/板楼,210,2室1厅,103102708987,2018-08-08,南,高楼层/共23层,复式/精装,71.43平米
70年,12,钱塘新区高教园区西,32818元/平米,东海未名园,2005年建/板塔结合,140,1室1厅,103104024552,2019-03-04,东南,高楼层/共18层,平层/精装,42.66平米
70年,5,萧山萧山新城区,40225元/平米,滨江江南之星,未知年建/板楼,358,3室2厅,103104203214,2019-03-22,南 北,低楼层/共34层,毛坯,89平米
70年,13,下城流水苑,44786元/平米,和平小区,1999年建/板楼,730,3室3厅,103102589822,2018-07-08,南,中楼层/共7层,精装,163平米
70年,0,余杭临平,21567元/平米,东海花园,未知年建/板楼,285,3室2厅,103104160953,2019-03-18,南,中楼层/共5层,平层/精装,132.15平米
70年,5,西湖文教,58866元/平米,华海园,2004年建/板楼,830,3室2厅,103103625069,2018-12-22,东 南 北,中楼层/共18层,平层/精装,141平米
70年,5,江干丁桥,31291元/平米,昆仑天籁,2010年建/板塔结合,388,4室1厅,103102716255,2018-08-10,南,高楼层/共16层,平层/毛坯,124平米
70年,0,余杭小和山,23275元/平米,华盛星洲翠谷,2010年建/板楼,238,3室2厅,103104406849,2019-04-12,南,中楼层/共6层,平层/精装,102.26平米
40年,19,余杭塘栖,13744元/平米,欣北钱江国际广场,2014年建/塔楼,106,3室2厅,103103414694,2018-11-19,南,低楼层/共22层,跃层/精装,77.13平米
70年,12,钱塘新区沿江南,32479元/平米,宋都晨光国际,2013年建/板塔结合,290,3室2厅,103102895285,2018-09-11,南,低楼层/共33层,平层/精装,89.29平米
70年,12,余杭塘栖,17693元/平米,金世纪运河丽园,2016年建/塔楼,230,3室2厅,103102360940,2018-04-29,南,中楼层/共11层,平层/精装,130平米
70年,19,西湖文三西路,49313元/平米,科技新村,2000年建/板楼,416,3室2厅,103103279016,2018-11-03,南,高楼层/共7层,平层/精装,84.36平米
70年,11,余杭翡翠城,50189元/平米,翡翠城二期,2013年建/板塔结合,798,4室2厅,103104140652,2019-03-16,南 北,低楼层/共5层,平层/精装,159平米
70年,6,江干九堡,35410元/平米,康恒悦麒美寓,2016年建/板楼,1080,6室2厅,103102467492,2018-06-01,南 北,低楼层/共25层,平层/简装,305平米
70年,561,滨江彩虹城,34813元/平米,临江花园,2005年建/板楼,400,3室2厅,103090088158,2015-08-19,南 北,高楼层/共5层,简装,114.9平米
70年,0,余杭闲林,20512元/平米,绿城桃源小镇,2014年建/板楼,280,4室2厅,103104284147,2019-03-31,南,中楼层/共33层,平层/精装,136.51平米
40年,0,钱塘新区高教园区东,21591元/平米,宝龙城市广场,2014年建/板楼,95,1室1厅,103104989782,2019-06-10,南,高楼层/共22层,精装,44平米
70年,30,余杭三墩,34804元/平米,铭雅苑东区,2004年建/板楼,157,1室1厅,103102716595,2018-08-10,南,中楼层/共4层,平层/简装,45.11平米
70年,0,江干九堡,34603元/平米,郡原相江公寓,2012年建/板楼,310,3室2厅,103104455519,2019-04-17,南,低楼层/共25层,平层/简装,89.59平米
40年,26,江干城东新城,27923元/平米,东亚新干线,2017年建/板楼,118,2室1厅,103104532315,2019-04-24,东,中楼层/共11层,精装,42.26平米
70年,11,江干九堡,39107元/平米,,2017年建/板楼,350,3室2厅,103103930469,2019-02-21,南 北,低楼层/共17层,简装,89.5平米
70年,48,滨江长河,40486元/平米,同人春江时代花园,2008年建/板楼,630,3室2厅,103102576030,2018-07-04,南 西,低楼层/共18层,平层/精装,155.61㎡
70年,0,余杭三墩,33126元/平米,亲亲家园一期,2006年建/板楼,410,3室2厅,103104679835,2019-05-10,南,低楼层/共11层,平层/精装,123.77平米
70年,47,滨江彩虹城,54878元/平米,钱塘帝景,2013年建/板楼,490,2室2厅,103102818619,2018-08-31,南 北,中楼层/共45层,精装,89.29平米
70年,13,拱墅拱宸桥,36171元/平米,登云阁,1985年建/板楼,204,2室1厅,103104053672,2019-03-06,南 北,高楼层/共6层,平层/简装,56.4平米
70年,3,余杭临平,32025元/平米,莱茵知己,2015年建/暂无数据,850,5室5厅,103104526385,2019-04-24,南 西 北,联排/共3层,毛坯,265.42平米
70年,11,西湖文教,67951元/平米,金都城市芯宇,2010年建/板楼,628,2室2厅,103104211170,2019-03-23,南,中楼层/共29层,平层/精装,92.42平米
70年,1,余杭三墩,28309元/平米,铭雅苑东区,2004年建/板楼,335,3室2厅,103104149816,2019-03-17,南,高楼层/共6层,平层/简装,118.34平米
70年,12,拱墅半山,32541元/平米,中兴御田清庭,2017年建/板楼,275,2室2厅,103102301280,2018-04-10,南 北,高楼层/共7层,平层/毛坯,84.51平米
70年,10,西湖申花,36753元/平米,宝嘉誉府,未知年建/板楼,320,2室2厅,103103311321,2018-11-06,南 北,低楼层/共19层,平层/毛坯,87.07平米
70年,42,西湖文教,57420元/平米,石灰桥新村,1984年建/板楼,380,3室1厅,103101201759,2017-04-13,南,高楼层/共6层,简装,66.18平米
40年,2,余杭未来科技城,34884元/平米,西溪八方城,2015年建/板楼,150,2室2厅,103104077332,2019-03-09,东,高楼层/共12层,平层/精装,43平米
70年,0,江干四季青,51031元/平米,夕照新村,1995年建/板楼,255,2室1厅,103104580699,2019-04-29,南,高楼层/共6层,平层/简装,49.97平米
70年,32,西湖古荡,40581元/平米,古荡新村西区,1995年建/板楼,380,4室1厅,103102358810,2018-04-28,南,低楼层/共6层,平层/简装,93.64平米
70年,0,临安临安,15057元/平米,江南佳苑,2017年建/板塔结合,134,2室2厅,103103519112,2018-12-05,南,高楼层/共18层,简装,89平米
70年,1,钱塘新区沿江北,26891元/平米,多蓝水岸银沙苑,2007年建/塔楼,320,3室2厅,103104542516,2019-04-26,南 北,高楼层/共11层,平层/简装,119平米
70年,0,拱墅德胜,39933元/平米,德胜新村,1988年建/板楼,190,2室1厅,103104593858,2019-04-30,南,中楼层/共6层,简装,47.58平米
70年,3,拱墅大关,40434元/平米,大关东八苑,1996年建/板楼,220,2室1厅,103104731167,2019-05-15,南,中楼层/共7层,精装,54.41平米
70年,3,余杭闲林,24497元/平米,众安学君里,未知年建/板楼,220,3室2厅,103104343657,2019-04-06,南,中楼层/共20层,平层/毛坯,89.81平米
70年,84,西湖小和山,28477元/平米,众安白马山庄,2015年建/暂无数据,580,5室2厅,103102580230,2018-07-06,南,联排/共5层,跃层/毛坯,203.68平米
70年,17,余杭闲林,25307元/平米,闲林山水海棠苑,2007年建/板楼,248,3室2厅,103102972826,2018-09-21,南,中楼层/共5层,平层/简装,98平米
70年,10,江干丁桥,31350元/平米,广宇上东领地,2011年建/板楼,245,2室2厅,103104879296,2019-05-30,南,低楼层/共16层,平层/精装,78.15平米
70年,6,萧山钱江世纪城,45120元/平米,万和国际,2014年建/板楼,625,3室2厅,103104146456,2019-03-16,东 南 北,低楼层/共32层,平层/精装,138.52平米
70年,12,江干景芳,41150元/平米,景芳新五区,2000年建/板楼,265,2室1厅,103103932398,2019-02-22,南 北,中楼层/共7层,平层/精装,64.4平米
70年,12,钱塘新区高教园区东,31550元/平米,宝龙云滨湾,2012年建/板楼,280,3室2厅,103104456486,2019-04-17,南,高楼层/共18层,平层/精装,88.75平米
70年,3,余杭万达广场,37235元/平米,滨江万家名城,2016年建/板楼,335,3室2厅,103103402988,2018-11-17,南,中楼层/共24层,简装,89.97平米
70年,1,上城鼓楼,42960元/平米,建国南苑,1996年建/板楼,209,2室1厅,103105105187,2019-06-21,西,中楼层/共7层,简装,48.65平米
70年,13,江干九堡,34230元/平米,新江花园,未知年建/板楼,270,2室2厅,103102714474,2018-08-09,南,中楼层/共14层,平层/简装,78.88平米
70年,24,下城体育场路,38730元/平米,水星阁,1998年建/板楼,400,2室2厅,103101977943,2017-12-08,南 北,低楼层/共25层,简装,103.28平米
40年,0,下城三塘,25754元/平米,新天地G193广场,2016年建/板楼,82,1室1厅,103104120095,2019-03-14,南,中楼层/共20层,平层/精装,31.84平米
70年,2,萧山萧山新城区,27174元/平米,嘉利公寓,2003年建/板楼,125,1室1厅,103104377488,2019-04-09,南,中楼层/共8层,平层/精装,46平米
70年,61,西湖文三西路,41368元/平米,科技新村,2000年建/板楼,305,2室2厅,103102926468,2018-09-16,南 北,低楼层/共7层,平层/简装,73.73平米
70年,0,余杭临平,26223元/平米,赞成檀府,2016年建/板塔结合,340,4室1厅,103104908579,2019-06-02,南,高楼层/共28层,平层/精装,129.66平米
70年,2,拱墅申花,51834元/平米,上尚庭,2013年建/板楼,400,2室1厅,103105070593,2019-06-18,南,中楼层/共18层,平层/精装,77.17平米
70年,6,余杭闲林,32680元/平米,融创金成西溪海,2014年建/塔楼,1000,5室3厅,103102900897,2018-09-12,南 北,联排/共3层,毛坯,306平米
70年,12,西湖西溪,40221元/平米,坤和和家园,2009年建/板楼,910,5室2厅,103104276563,2019-03-30,南 北,高楼层/共11层,复式/毛坯,226.25平米
70年,0,江干九堡,33933元/平米,万科魅力之城,2009年建/板楼,300,2室1厅,103104648970,2019-05-07,南,中楼层/共17层,平层/精装,88.41平米
70年,41,西湖文三西路,41561元/平米,西荡苑梨苑,2001年建/板楼,390,2室2厅,103102339762,2018-04-22,南,高楼层/共7层,复式/精装,93.84平米
70年,3,下城天水,53450元/平米,玄坛弄,1988年建/板楼,320,2室1厅,103103360217,2018-11-11,南,低楼层/共6层,简装,59.87平米
70年,22,西湖之江,44678元/平米,新西湖花园,未知年建/暂无数据,930,5室2厅,103103223914,2018-10-27,南,低楼层/共2层,精装,208.16平米
70年,30,西湖西溪,53933元/平米,万科西庐二期,2017年建/板楼,480,3室2厅,103104222508,2019-03-24,南 北,中楼层/共15层,平层/精装,89平米
70年,11,余杭万达广场,32991元/平米,越秀星汇尚城,2013年建/板塔结合,385,3室2厅,103104566428,2019-04-28,西南,低楼层/共25层,平层/精装,116.7平米
70年,77,钱塘新区沿江南,26972元/平米,世茂江滨花园瑞景湾,2010年建/塔楼,236,2室2厅,103103890094,2019-02-16,南,低楼层/共33层,平层/精装,87.5平米
50年,5,,21740元/平米,江南明城,2013年建/板楼,200,4室1厅,103104252300,2019-03-27,南,高楼层/共16层,简装,92平米
70年,2,滨江长河,34147元/平米,滨兴小区西区,2000年建/板楼,420,3室2厅,103104817919,2019-05-24,南,高楼层/共6层,平层/简装,123平米
70年,10,余杭闲林,24571元/平米,华元玉榕庄,2013年建/板塔结合,700,5室2厅,103103071105,2018-10-08,南 北,联排/共3层,毛坯,284.9平米
70年,47,余杭良渚,26015元/平米,良渚文化村七贤郡,2014年建/板塔结合,225,3室2厅,103104436832,2019-04-15,南,中楼层/共6层,平层/精装,86.49平米
70年,1,余杭临平,24194 元/平米,绿城蓝庭东区,2013年建/板楼,225,2室2厅,103104492149,2019-04-20,南,中楼层/共18层,平层/精装,93平米
70年,0,西湖文一西路,54279元/平米,文溪鼎园,2013年建/板楼,720,3室2厅,103104137184,2019-03-15,南,高楼层/共15层,平层/精装,132.65平米
70年,3,下城长庆,42444元/平米,长宁街,1990年建/板楼,148,1室1厅,103104483209,2019-04-19,南,高楼层/共7层,简装,34.87平米
70年,9,西湖申花,48838元/平米,港湾家园,2006年建/塔楼,580,2室2厅,103102834567,2018-09-03,南,高楼层/共20层,平层/简装,118.76平米
70年,24,拱墅大关,36349元/平米,大关南三苑,1998年建/板楼,178,2室1厅,103102692174,2018-08-04,南,高楼层/共6层,简装,48.97平米
70年,11,江干华家池,62929元/平米,绿地华家池印,2017年建/板楼,560,3室2厅,103104593572,2019-04-30,南,中楼层/共31层,平层/精装,88.99平米
50年,4,西湖文三西路,27975元/平米,西溪锋尚苑,2005年建/板楼,158,2室1厅,103102904884,2018-09-12,南 北,高楼层/共6层,简装,56.48平米
70年,1,余杭未来科技城,27092元/平米,湖山帝景湾南苑,2015年建/板楼,240,3室2厅,103104433458,2019-04-15,南,高楼层/共23层,简装,88.59平米
70年,1,江干四季青,54348元/平米,夕照新村,1989年建/板楼,265,2室1厅,103104113349,2019-03-13,南 北,低楼层/共6层,平层/简装,48.76平米
70年,31,滨江滨江区政府,47964元/平米,风雅钱塘,2006年建/板楼,630,3室2厅,103102534559,2018-06-23,南 北,高楼层/共32层,简装,131.35平米
70年,10,余杭勾庄,36979元/平米,万科杭宸,未知年建/板楼,330,3室2厅,103104827333,2019-05-25,南,中楼层/共11层,平层/精装,89.24平米
40年,2,拱墅申花,32323元/平米,中天西城纪,2014年建/板楼,130,2室2厅,103104230241,2019-03-25,东,高楼层/共14层,精装,40.22平米
70年,1,余杭良渚,27862元/平米,良渚文化村白鹭郡北,2006年建/板楼,370,3室2厅,103104393971,2019-04-11,南 北,中楼层/共4层,毛坯,132.8平米
70年,2,下城长庆,48100元/平米,青春坊,1998年建/板楼,405,2室1厅,103104831538,2019-05-25,西南,中楼层/共18层,平层/精装,84.2平米
70年,6,江干丁桥,32132元/平米,昆仑天籁,2010年建/塔楼,392,4室2厅,103103362776,2018-11-11,南 北,低楼层/共17层,平层/精装,122平米
70年,7,上城近江,50183元/平米,华龙家园,1998年建/板楼,440,2室2厅,103102983083,2018-09-23,南 北,高楼层/共7层,简装,87.68平米
70年,0,拱墅拱宸桥,36776元/平米,荣华里,1985年建/板楼,245,3室1厅,103102637377,2018-07-21,南,中楼层/共5层,平层/毛坯,66.62平米
40年,13,萧山钱江世纪城,22223元/平米,世纪晶钻,2015年建/板楼,98,1室1厅,103103086763,2018-10-11,北,中楼层/共26层,平层/精装,44.1平米
40年,14,余杭临平,16185元/平米,海联云客里,2017年建/板楼,52,2室1厅,103102734201,2018-08-14,南,高楼层/共12层,毛坯,32.13平米
70年,6,余杭临平,22133元/平米,中梁百悦城,2016年建/板楼,198,3室2厅,103104622794,2019-05-04,南,高楼层/共32层,平层/简装,89.46平米
70年,2,余杭临平,23703元/平米,金都夏宫,2016年建/板楼,210,3室2厅,103104487411,2019-04-20,南,高楼层/共34层,平层/毛坯,88.6平米
40年,15,萧山闻堰,15656元/平米,隐龙湾,2010年建/板塔结合,87,1室1厅,103104227598,2019-03-25,北,高楼层/共27层,平层/精装,55.57平米
70年,0,临安临安,14084元/平米,吴越山庄,未知年建/暂无数据,169,3室2厅,103105027728,2019-06-14,南,高楼层/共6层,毛坯,120平米
70年,4,滨江浦沿,46300元/平米,积家,2014年建/板楼,588,4室2厅,103104346968,2019-04-06,南,高楼层/共33层,精装,127平米
70年,3,西湖转塘,32473元/平米,天阳云筑,2012年建/板楼,450,4室2厅,103104865895,2019-05-29,南,高楼层/共17层,简装,138.58平米
70年,0,余杭闲林,23871元/平米,新西湖小镇,2012年建/板楼,215,3室2厅,103104900273,2019-06-01,南 西南,低楼层/共10层,平层/毛坯,90.07平米
70年,35,下城建国北路,37582元/平米,环城东路298-311号,1996年建/板楼,220,2室1厅,103104051464,2019-03-06,西北,中楼层/共7层,平层/简装,58.54平米
70年,20,上城南星,67578元/平米,春江花月,2007年建/板塔结合,470,1室1厅,103104307008,2019-04-02,南,中楼层/共27层,平层/简装,9平米
70年,31,滨江浦沿,46323元/平米,中海钱塘山水,2009年建/板楼,410,3室2厅,103103961800,2019-02-25,南 北,低楼层/共34层,跃层/精装,88.51平米
70年,9,拱墅桥西,62500元/平米,远洋大河宸章,2014年建/板塔结合,1400,4室2厅,103103737818,2019-01-11,东 南 北,中楼层/共18层,平层/精装,224平米
70年,3,江干钱江新城,64844元/平米,中海御道,2016年建/板塔结合,830,3室2厅,103104008265,2019-03-02,南 北,高楼层/共35层,平层/精装,128平米
70年,45,钱塘新区沿江南,32359元/平米,宋都晨光国际,2013年建/板塔结合,290,3室2厅,103102616753,2018-07-15,南 北,低楼层/共29层,平层/精装,89.62平米
70年,69,下城潮鸣,44983元/平米,云龙公寓,2002年建/板楼,390,3室1厅,103102685843,2018-08-03,南,中楼层/共24层,平层/简装,86.7平米
70年,2,余杭良渚,31148元/平米,良渚文化村白鹭郡东,2008年建/板楼,390,3室2厅,103104477713,2019-04-19,南,高楼层/共6层,平层/精装,125.21平米
70年,25,上城近江,52239元/平米,近江家园二园,2000年建/板楼,350,2室1厅,103102749849,2018-08-18,南,中楼层/共6层,平层/简装,67平米
70年,6,余杭未来科技城,41470元/平米,富力十号院,2017年建/板楼,490万元,4室2厅,103104877499,2019-05-30,南,中楼层/共11层,平层/精装,118.16平米
70年,11,西湖翠苑,44710元/平米,翠苑四区,1993年建/板楼,180,1室1厅,103104965572,2019-06-08,南,中楼层/共6层,平层/精装,40.26平米
70年,6,西湖文教,70271元/平米,花园南村,1985年建/板楼,520,2室1厅,103104131259,2019-03-15,南,中楼层/共5层,平层/精装,74平米
70年,34,萧山闻堰,20530元/平米,湘湖人家,2007年建/板楼,310,3室2厅,103102479650,2018-06-05,南,高楼层/共23层,跃层/简装,151平米
70年,17,余杭临平,21148元/平米,绿城蓝庭西区,2011年建/板塔结合,258,3室2厅,103104559163,2019-04-27,南,低楼层/共16层,平层/毛坯,122平米
70年,13,江干景芳,67100元/平米,万科大家钱塘府,2016年建/板楼,600,3室2厅,103103265446,2018-11-01,南 北,低楼层/共26层,平层/精装,89.42平米
40年,4,滨江浦沿,22973元/平米,风尚蓝湾,2010年建/塔楼,145,1室1厅,103103873357,2019-02-14,西,低楼层/共29层,平层/精装,63.12平米
70年,92,余杭星桥,26955元/平米,广厦天都城天河苑,2007年建/板楼,130,3室1厅,103104772839,2019-05-19,东,高楼层/共6层,简装,48.23平米
70年,0,富阳富阳,20476元/平米,野风春晓,未知年建/板楼,180,3室1厅,103105104627,2019-06-21,南 北,低楼层/共18层,平层/其他,87.91㎡
70年,9,西湖三墩,46009元/平米,金地自在城,2012年建/板楼,170,1室1厅,103104716119,2019-05-13,南,中楼层/共25层,精装,36.95平米
70年,12,余杭闲林,21850元/平米,庭院深深,2012年建/板楼,300,3室1厅,103102139063,2018-02-24,南 北,中楼层/共11层,精装,137.3平米
70年,24,江干钱江新城,60323元/平米,钱江六苑,2005年建/板楼,535,3室1厅,103103994234,2019-02-28,南,高楼层/共18层,平层/精装,88.69平米
70年,45,上城南星,999999元/平米,新绿园,2010年建/板塔结合,700,2室1厅,103102795541,2018-08-28,南,中楼层/共11层,平层/精装,89平米
50年,2,滨江滨江区政府,27564元/平米,星光国际公馆,2012年建/板楼,150,1室0厅,103102828468,2018-09-02,北,中楼层/共26层,精装,54.42平米
70年,15,余杭临平,24056元/平米,绿城蓝庭西区,2011年建/板塔结合,240,3室2厅,103102664895,2018-07-28,南,高楼层/共16层,精装,99.77平米
70年,6,江干南肖埠,44383元/平米,南肖埠社区,1995年建/板楼,190,1室1厅,103102349287,2018-04-25,南,高楼层/共7层,平层/简装,42.81平米
70年,7,拱墅申花,54554元/平米,浙旅德信西宸,2017年建/板楼,490,3室2厅,103103515197,2018-12-04,南,中楼层/共11层,平层/简装,89.82平米
40年,1,西湖申花,30591元/平米,五洲国际广场,2013年建/板塔结合,132,2室1厅,103104909286,2019-06-02,南,中楼层/共11层,简装,43.15平米
70年,25,拱墅湖墅,40416元/平米,左家新村,1993年建/板楼,315,2室1厅,103102371584,2018-05-02,南,低楼层/共7层,平层/简装,77.94平米
70年,51,上城清泰,40000元/平米,紫金观巷,1991年建/板楼,230,2室1厅,103102097073,2018-01-24,南,中楼层/共6层,平层/简装,57.5平米
70年,2,西湖良渚,37766元/平米,中国铁建西湖国际城,未知年建/板楼,338,3室2厅,103104739305,2019-05-16,南 北,中楼层/共34层,平层/毛坯,89.5平米
70年,1,江干丁桥,26829元/平米,保利罗兰香谷,2015年建/板楼,350,4室2厅,103103717318,2019-01-07,南,中楼层/共17层,平层/简装,130.46平米
70年,17,余杭崇贤,22942元/平米,中尚橄榄树花园（南区）,2010年建/平房,195,2室1厅,103104171600,2019-03-19,南 北,低楼层/共16层,平层/精装,85平米
70年,2,拱墅湖墅,32301元/平米,银都大厦,2003年建/板楼,146,1室0厅,103104086559,2019-03-10,北,中楼层/共24层,平层/简装,45.2平米
70年,4,钱塘新区沿江北,24663元/平米,梦琴湾,2007年建/板楼,325,3室2厅,103104585880,2019-04-30,南,高楼层/共30层,平层/精装,131.78平米
50年,4,萧山南部卧城,22179元/平米,南江商业中心,2016年建/板楼,91,2室2厅,103104835226,2019-05-26,北,中楼层/共25层,精装,41.03平米
70年,5,钱塘新区沿江南,25907元/平米,世茂江滨花园瑞景湾,2010年建/塔楼,230,3室1厅,103103136513,2018-10-16,南,低楼层/共33层,平层/简装,88.78平米
70年,10,下城建国北路,89824元/平米,绿城兰园,2014年建/板楼,1850,4室1厅,103101759673,2017-09-25,东 南 北,低楼层/共23层,平层/精装,205.96平米
70年,0,拱墅三墩,38140元/平米,阳光郡,2014年建/塔楼,328,3室1厅,103105043016,2019-06-15,南,中楼层/共28层,平层/简装,86平米
70年,25,江干九堡,30413元/平米,晨光绿苑北苑,2005年建/板楼,370,3室2厅,103103371986,2018-11-13,南,中楼层/共6层,平层/精装,121.66平米
70年,67,西湖申花,53990元/平米,上郡,2009年建/板楼,475,3室2厅,103102650953,2018-07-25,南,中楼层/共16层,平层/精装,87.98平米
70年,12,萧山闻堰,29166元/平米,江南摩卡,2009年建/板楼,275,2室2厅,103104229123,2019-03-25,南,高楼层/共28层,平层/精装,94.29平米
70年,2,拱墅桥西,53957元/平米,德信银树湾,2009年建/板楼,480,2室1厅,103103798567,2019-01-19,南,中楼层/共24层,平层/精装,88.96平米
70年,9,西湖三墩,42472元/平米,金地自在城求学里,2012年建/板楼,378,3室2厅,103104424765,2019-04-14,南,中楼层/共26层,平层/精装,89平米
70年,2,江干九堡,31939元/平米,新江花园,2007年建/板楼,255,2室2厅,103105050147,2019-06-16,南,低楼层/共10层,其他,79.84平米
70年,7,上城清泰,46297元/平米,大王庙巷小区,1991年建/板楼,240,2室1厅,103103898154,2019-02-17,南,高楼层/共7层,平层/精装,51.84平米
40年,10,钱塘新区金沙湖,23192元/平米,泰美国际大厦,2016年建/塔楼,109,1室1厅,103102712667,2018-08-09,南,中楼层/共22层,Loft/简装,47平米
70年,9,钱塘新区沿江北,28184元/平米,伊萨卡国际城绮风园,2008年建/板楼,848,6室2厅,103102536215,2018-06-23,南,高楼层/共18层,精装,300.89平米
70年,16,滨江长河,38834元/平米,南岸晶都花园,2007年建/板楼,229,1室1厅,103104595481,2019-05-01,西南,高楼层/共26层,平层/精装,58.97平米
70年,1,余杭临平,30352元/平米,理想银泰城,2016年建/板塔结合,285,3室2厅,103104291606,2019-03-31,南,中楼层/共47层,平层/毛坯,93.9平米
70年,0,余杭良渚,34487元/平米,和昌府,未知年建/暂无数据,300,3室2厅,103104656632,2019-05-07,南 北,高楼层/共18层,平层/毛坯,86.99平米
70年,1,钱塘新区沿江北,28068元/平米,梦琴湾,2007年建/板楼,280,2室2厅,103104017885,2019-03-03,北,中楼层/共32层,平层/精装,99.76平米
40年,1,余杭塘栖,30968元/平米,美致生活广场,2016年建/板塔结合,96,3室2厅,103104174489,2019-03-19,西南,中楼层/共19层,跃层/精装,31平米
70年,111,萧山义桥,22079元/平米,绿都金域东方,2017年建/板楼,195,3室1厅,103103802784,2019-01-20,南,低楼层/共11层,平层/毛坯,88.32平米
40年,24,钱塘新区高教园区西,18803元/平米,华元十六街区,2004年建/板楼,120,2室2厅,103104347902,2019-04-06,南,中楼层/共16层,平层/精装,63.82平米
70年,124,余杭闲林,23900元/平米,绿城桃源小镇,2014年建/板楼,215,3室2厅,103104753465,2019-05-17,南,低楼层/共17层,平层/精装,89.96平米
70年,6,余杭临平,21445元/平米,凤仪家园,2001年建/板楼,275,3室2厅,103102726303,2018-08-12,南,中楼层/共5层,平层/精装,128.24平米
70年,4,下城朝晖,41898元/平米,朝晖七区,1994年建/板楼,280,2室1厅,103102899462,2018-09-12,南,高楼层/共6层,平层/简装,66.83平米
70年,27,西湖西溪,46549元/平米,坤和和家园,2013年建/板楼,880,4室2厅,103102600539,2018-07-11,南,低楼层/共11层,精装,189.05平米
70年,3,余杭临平,17568元/平米,东厦东港花苑,2011年建/板楼,260,3室2厅,103104387526,2019-04-10,南,低楼层/共16层,平层/精装,148平米
70年,2,余杭未来科技城,46125元/平米,富力十号院,2017年建/板楼,595,4室1厅,103104748399,2019-05-16,南,高楼层/共11层,平层/精装,129平米
70年,0,江干火车东站,38238元/平米,新和嘉苑,2012年建/板楼,380,3室1厅,103104740313,2019-05-16,南,中楼层/共18层,精装,99.38平米
50年,21,钱塘新区工业园南,22212元/平米,和达自由港,2000年建/板楼,95,3室2厅,103102759639,2018-08-20,南,中楼层/共16层,简装,42.77平米
40年,2,余杭翡翠城,28410元/平米,华元西溪欢乐城,2017年建/板楼,125,2室1厅,103103015856,2018-09-28,南,低楼层/共14层,平层/精装,44平米
40年,0,钱塘新区沿江南,19868元/平米,金隅空港公馆,2017年建/板楼,120,1室1厅,103105106246,2019-06-21,南,中楼层/共21层,平层/其他,60.4平米
70年,3,萧山萧山新城区,41530元/平米,中国铁建青秀城,2015年建/板楼,365,3室1厅,103104973453,2019-06-08,东,低楼层/共18层,平层/简装,87.89平米
70年,5,上城南星,49702元/平米,凤凰南苑,2004年建/板楼,350,2室1厅,103103181001,2018-10-21,南,低楼层/共24层,平层/精装,70.42平米
70年,15,江干景芳,40297元/平米,景芳一区,1993年建/板楼,185,2室0厅,103104214603,2019-03-23,南,低楼层/共7层,平层/毛坯,45.91平米
40年,0,滨江彩虹城,26222元/平米,滨江宝龙城市广场,2016年建/板塔结合,125,1室1厅,103105056057,2019-06-16,南,低楼层/共24层,平层/精装,47.67平米
70年,1,临安临安,12990元/平米,颐和山庄,未知年建/板楼,156,3室2厅,103103804226,2019-01-21,南,中楼层/共11层,平层/毛坯,120.1平米
70年,49,西湖西溪,41988元/平米,坤和和家园,2014年建/板楼,699,4室2厅,103103518709,2018-12-05,南 北,低楼层/共15层,平层/精装,166.48平米
